Date,VOOV,EZU,IWM,SMH,IBB,XLU,VOOG,SPY,QQQ
10/15/15,85.41,36.76,115.57,53.61,104.92,44.72,101.96,202.35,107.67
10/16/15,85.8,36.7,115.42,53.83,104.77,44.78,102.43,203.27,108.12
10/19/15,85.46,36.65,115.64,53.87,105.31,44.81,102.81,203.37,108.74
10/20/15,85.61,36.51,115.48,53.76,101.99,44.96,102.41,203.09,108.18
10/21/15,85.02,36.47,113.72,53.86,101.49,44.87,101.79,201.85,107.52
10/22/15,86.56,36.88,114.72,55.5,102.04,45.39,103.48,205.26,109.71
10/23/15,87.09,37.3,115.85,56.13,105.43,44.59,105.19,207.51,112.78
10/26/15,86.63,37.15,115.06,55.06,105.82,44.43,105.16,207,112.85
10/27/15,86.19,36.74,113.8,54.72,109.22,44.27,104.99,206.6,113.08
10/28/15,87.34,36.94,117.12,55.27,110.6,43.8,106.14,208.95,114.02
10/29/15,87.2,36.85,115.87,53.84,109.52,43.55,106.32,208.83,113.84
10/30/15,86.89,36.85,115.34,54.21,108.49,43.75,105.76,207.93,113.33
11/2/15,87.88,37.35,117.74,54.72,112.69,43.8,106.85,210.39,114.61
11/3/15,88.38,37.19,118.35,55.19,113.03,43.93,107.07,211,115.01
11/4/15,87.91,36.82,118.29,55.55,112.54,44.16,106.93,210.36,115.02
11/5/15,87.95,36.88,118.38,54.11,110.38,43.78,106.69,210.15,114.71
11/6/15,88,36.83,119.22,55.19,110.08,42.25,106.51,210.04,114.79
11/9/15,87.27,36.28,117.82,54.75,110.19,42.36,105.64,208.08,113.57
11/10/15,87.33,36.16,118.17,53.88,110.65,42.74,105.64,208.56,113.28
11/11/15,87.09,36.31,117.14,53.9,108.95,43.11,105.39,207.74,113.14
11/12/15,85.68,35.86,114.9,53.21,106.7,42.7,104.1,204.84,112.04
11/13/15,84.98,35.52,114.07,52.66,107.88,42.54,102.7,202.54,109.84
11/16/15,86.41,35.85,115.05,53.34,108.3,43.26,104.09,205.62,111.42
11/17/15,86.2,35.93,114.61,53.88,109.71,42.48,104.14,205.47,111.49
11/18/15,87.51,36.34,116.55,54.16,112.91,42.75,105.89,208.73,113.63
11/19/15,87.36,36.52,116.06,54.58,111.14,43.21,105.8,208.55,113.71
